Állomás: 1, mérések: 10
Állomás: 2, mérések: 11
Állomás: 3, mérések: 11
Állomás: 4, mérések: 10
Állomás: 5, mérések: 8
Állomás: 6, mérések: 6
Állomás: 7, mérések: 8
Állomás: 8, mérések: 13
Állomás: 9, mérések: 9
Állomás: 10, mérések: 9
Állomás: 11, mérések: 8
Állomás: 12, mérések: 18
Állomás: 13, mérések: 6
Állomás: 14, mérések: 10
Állomás: 15, mérések: 8
Állomás: 16, mérések: 12
Állomás: 17, mérések: 3
Állomás: 18, mérések: 10
Állomás: 19, mérések: 11
Állomás: 20, mérések: 19
Állomás: 21, mérések: 14
Állomás: 22, mérések: 8
Állomás: 23, mérések: 12
Állomás: 24, mérések: 9
Állomás: 25, mérések: 9
Állomás: 26, mérések: 8
Állomás: 27, mérések: 7
Állomás: 28, mérések: 4
Állomás: 29, mérések: 6
Állomás: 30, mérések: 10
Állomás: 31, mérések: 7
Állomás: 32, mérések: 9
Állomás: 33, mérések: 9
Állomás: 34, mérések: 5
Állomás: 35, mérések: 16
Állomás: 36, mérések: 8
Állomás: 37, mérések: 10
Állomás: 38, mérések: 7
Állomás: 39, mérések: 9
Állomás: 40, mérések: 11
Állomás: 41, mérések: 5
Állomás: 42, mérések: 14
Állomás: 43, mérések: 10
Állomás: 44, mérések: 9
Állomás: 45, mérések: 11
Állomás: 46, mérések: 13
Állomás: 47, mérések: 7
Állomás: 48, mérések: 11
Állomás: 49, mérések: 8
Állomás: 50, mérések: 14
Állomás: 51, mérések: 4
Állomás: 52, mérések: 13
Állomás: 53, mérések: 5
Állomás: 54, mérések: 10
Állomás: 55, mérések: 7
Állomás: 56, mérések: 12
Állomás: 57, mérések: 7
Állomás: 58, mérések: 8
Állomás: 59, mérések: 13
Állomás: 60, mérések: 14
Állomás: 61, mérések: 10
Állomás: 62, mérések: 7
Állomás: 63, mérések: 12
Állomás: 64, mérések: 9
Állomás: 65, mérések: 10
Állomás: 66, mérések: 10
Állomás: 67, mérések: 13
Állomás: 68, mérések: 9
Állomás: 69, mérések: 11
Állomás: 70, mérések: 7
Állomás: 71, mérések: 9
Állomás: 72, mérések: 7
Állomás: 73, mérések: 7
Állomás: 74, mérések: 11
Állomás: 75, mérések: 7
Állomás: 76, mérések: 9
Állomás: 77, mérések: 9
Állomás: 78, mérések: 7
Állomás: 79, mérések: 8
Állomás: 80, mérések: 16
Állomás: 81, mérések: 15
Állomás: 82, mérések: 9
Állomás: 83, mérések: 11
Állomás: 84, mérések: 7
Állomás: 85, mérések: 13
Állomás: 86, mérések: 7
Állomás: 87, mérések: 9
Állomás: 88, mérések: 12
Állomás: 89, mérések: 14
Állomás: 90, mérések: 17
Állomás: 91, mérések: 12
Állomás: 92, mérések: 11
Állomás: 93, mérések: 14
Állomás: 94, mérések: 13
Állomás: 95, mérések: 13
Állomás: 96, mérések: 10
Állomás: 97, mérések: 13
Állomás: 98, mérések: 12
Állomás: 99, mérések: 16
Állomás: 100, mérések: 11
