id	evszam	szines	meret_x	meret_y
1	1999	-1	1200	797
2	1999	0	1200	797
3	1999	0	1200	797
4	1999	0	1200	797
5	1999	-1	1200	797
6	1999	0	1200	797
7	1999	-1	1200	797
8	2000	-1	1200	797
9	2000	-1	1200	797
10	2000	0	1200	797
11	2000	-1	1600	1200
12	2000	-1	1600	1200
13	2001	-1	1600	1200
14	2001	0	1600	1200
15	2001	0	1200	1600
16	2001	0	1200	1600
17	2002	-1	1600	1200
18	2002	-1	1600	1200
19	2002	-1	1600	1200
20	2002	-1	1600	1200
21	2002	-1	1200	1600
22	2002	-1	2560	1920
23	2002	-1	2560	1920
24	2003	-1	2560	1920
25	2003	-1	2560	1920
26	2003	0	2560	1920
27	2003	0	1600	1200
28	2004	0	1600	1200
29	2004	-1	1600	1200
30	2004	-1	1600	1200
31	2004	-1	1600	1200
32	2004	-1	1200	1600
33	2004	-1	1200	1600
34	2004	-1	1200	1600
35	2004	-1	2560	1920
36	2005	-1	2560	1920
37	2005	-1	2560	1920
38	2005	-1	2560	1920
39	2005	-1	2560	1920
40	2005	-1	1920	2560
41	2005	-1	1920	2560
42	2005	-1	1920	2560
43	2005	-1	1920	2560
44	2005	-1	1920	2560
45	2006	-1	2560	1920
46	2006	-1	1920	2560
47	2006	-1	1920	2560
48	2006	-1	2560	1920
49	2007	-1	2560	1920
50	2007	-1	2560	1920
51	2007	-1	1920	2560
52	2007	-1	1920	2560
53	2007	0	1920	2560
54	2007	0	1920	2560
55	2007	0	1920	2560
56	2008	-1	1920	2560
57	2008	-1	1728	2304
58	2008	-1	1728	2304
59	2009	-1	1728	2304
60	2009	-1	1728	2304
61	2009	-1	1920	2560
62	2009	-1	1920	2560
63	2009	-1	1920	2560
64	2010	-1	2304	1728
65	2010	-1	2304	1728
66	2010	-1	2304	1728
67	2010	-1	2304	1728
68	2010	-1	1728	2304
69	2010	-1	2304	1728
70	2010	-1	2304	1728
71	2011	-1	2304	1728
72	2011	-1	1728	2304
73	2012	-1	2304	1728
74	2012	-1	2304	1728
75	2012	-1	2304	1728
76	2012	-1	2304	1728
77	2013	-1	2304	1728
78	2013	-1	1728	2304
79	2013	-1	2304	1728
80	2013	-1	2304	1728
81	2013	-1	2304	1728
82	2014	-1	2304	1728
83	2014	-1	1920	2560
84	2014	-1	1920	2560
85	2014	-1	2304	1728
86	2014	-1	4608	3456
87	2014	-1	4608	3456
88	2015	-1	4608	3456
89	2015	-1	1920	2560
90	2016	-1	1920	2560
91	2016	-1	4608	3456
92	2016	-1	4608	3456
93	2016	-1	4608	3456
94	2016	-1	4608	3456
95	2017	-1	4608	3456
96	2017	-1	3456	4608
97	2017	-1	3456	4608
98	2017	-1	3456	4608
99	2017	-1	3456	4608
100	2018	-1	3456	4608
101	2018	-1	3456	4608
102	2018	-1	3456	4608
103	2018	-1	4608	3456
104	2018	-1	4608	3456
105	2019	-1	4608	3456
106	2019	-1	3456	4608
107	2019	-1	3456	4608
108	2019	-1	1920	2560
109	2019	-1	1920	2560
110	2019	-1	3456	4608
