életkor		férfi		nő	
tól	ig	1960	2011	1960	2011
0	4	424003	243333	403845	231912
5	9	467274	247960	447762	234386
10	14	399692	251952	386877	238116
15	19	378491	304075	375000	289459
20	24	329599	317039	349364	301196
25	29	354726	310238	367770	301063
30	34	367407	385903	386309	379414
35	39	357886	412285	395865	403311
40	44	212412	358261	239210	356260
45	49	337503	297246	377538	304426
50	54	308790	315132	340448	342439
55	59	276104	364059	304508	417052
60	64	217472	293440	264928	360551
65	69	148109	221918	200817	301053
70	74	109978	162896	153579	260948
75	79	69819	115657	98865	215416
80	84	32516	73546	45801	160669
85		12262	43539	18515	121478
