id	nev	nem	szulev	szulhely
1	Kurucz Imre	F	1946	Berettyóújfalu
2	Farkas Aladár	F	1909	Újpest
3	Poós László	F	1971	
4	Lakatos Pál Sándor	F	1960	Kispeleske
5	Kocsis András Sándor	F	1954	Budapest
6	Csák Attila	F		
7	Vadász György	F	1933	Budapest
8	Návai (Návay) Sándor	F	1955	Hódmezővásárhely
9	Tóth Béla ifj.	F		
10	Somogyi Soma és fia	F		
11	Jaap Hartman	F	1950	Woudrichem
12	Örkényi Strasszer István	F	1911	Szentes
13	Andreas Papachristos	F	1937	Lítia
14	Bakó László	F	1949	Báta
15	Kalmár Katalin	N	1970	Szeged
16	Petik Ferenc	F	1888	Budapest
17	Nyikolaj Kuznyecov-Muromszkij	F	1963	
18	Vörös János	F	1897	Csabrendek
19	Rigasz Hondromatidisz	F	1943	Ptolemais
20	Varga Pál	F		
21	Égerházi László	F	1965	Debrecen
22	Bocskai Vince	F	1949	Szováta
23	Szentgyörgyi István	F	1881	Bégaszentgyörgy
24	Szabó Áron	F		
25	Kelemen Kristóf	F	1922	Máriafölde
26	Árvai Ferenc	F	1935	Kalocsa
27	Baróti Ádám	F		
28	Kozsuharov Ognjan	F	1952	Szófia
29	Lovász Zoltán	F	1965	Győr
30	Bálint Árpád	F	1932	Győrasszonyfa
31	Somogyi Tamás	F	1958	Budapest
32	Kövér József	F	1958	Nagykálló
33	Kugler Pál Ferenc	F	1836	Sopron
34	Metky Ödön	F	1906	Budapest
35	Nagy Lajos Imre	F	1949	Gulács
36	Pomsár András	F		
37	Béres János (2)	F		
38	Shri Gautam Pal	F	1949	
39	Monori Sebestyén	F	1970	Budapest
40	Novográdecz Antal	F		
41	Herczeg Klára	N	1906	Budapest
42	Barth Károly	F	1939	
43	Segesdi György	F	1931	Budapest
44	Osváth Imre	F	1912	Nyíregyháza
45	Fáskerti Zsófia	N	1979	Budapest
46	Tar István	F	1910	Újpest
47	Jámbor Lajos	F	1869	Pest
48	Szabolcs Péter	F	1942	Diósgyőr
49	Csíky László	F	1942	Szeged
50	Varga Gábor	F	1952	Mezőtúr
51	B. Szabó Edit	N	1938	Debrecen
52	Bolgár Judit	N	1924	Kisvárda
53	Bogdán Csilla	N	1970	Budapest
54	Strausz Katalin	N		
55	Szpisják Pál	F	1961	Palotás
56	Pavle Radovanović	F	1923	Zrenjanin
57	Csontos László	F	1925	Újszász
58	Demeter István	F	1958	Csekefalva
59	Siklódy Lőrinc	F	1876	Ditró
60	Drinka Radovanović	F	1943	Kragujevac
61	Weeber Klára	N	1938	Budapest
62	Kallós Ede	F	1866	Hódmezővásárhely
63	Gera Katalin	N	1943	Újkígyós
64	Lev Kerbel	F	1917	Szemjonovka
65	Holló Barnabás	F	1865	Alsóhangony
66	Colengelo Ottimo	F		
67	Tóth András	F	1858	Pusztasimánd
68	Oláh Katalin	N	1974	Budapest
69	Prisztavok Tibor	F	1969	Békéscsaba
70	Békésy Miklós	F	1903	München
71	Bujtás László	F		
72	Pásztor János	F	1881	Gyoma
73	Kincses Mária	N	1926	Hódmezővásárhely
74	Fábos György	F	1950	Pécs
75	Szikszay Antal	F		
76	Mack Lajos	F	1876	
77	Bakos Ildikó	N	1948	Gyöngyös
78	Trapli István	F		
79	Nyírő Gyula	F	1924	Szeged
80	Tőzsér Erzsébet	N	1915	Rév
81	Láncz Pál	F	1919	Budapest
82	Mákos Ferenc	F		
83	Kiss László (1)	F		
84	Farkas Pál	F	1947	Szeged
85	Kalmár Márton	F	1946	Szeged
86	Szederkényi Attila	F	1946	Kiskunhalas
87	Szabó Tamás	F	1952	Budapest
88	Horváth Olivér	F	1915	Légrád
89	Gáti Gábor	F	1937	Budapest
90	Ősz Nemes György	F	1885	Temesvár
91	Bukta Imre	F	1952	Mezőszemere
92	Ziegler István	F		
93	Windecker Zoltán	F		
94	Bálint Zoltán	F	1871	
