szoborid	alkotoid
1	689
2	107
3	695
4	145
5	639
6	587
7	583
8	921
9	885
10	970
11	773
12	828
13	622
14	629
15	508
16	62
18	154
19	748
20	290
21	646
22	834
23	956
24	569
25	967
26	222
27	676
28	619
29	428
30	2
31	429
32	275
32	839
33	891
33	429
34	762
34	134
35	416
35	6
36	290
38	205
39	621
39	411
40	485
41	532
42	821
43	12
44	933
45	276
45	319
46	706
47	894
49	411
50	445
51	252
52	495
53	321
54	366
55	411
55	528
55	966
56	631
57	477
58	209
59	817
60	153
61	838
62	290
63	436
64	420
65	276
66	357
67	913
68	605
69	120
70	763
71	849
72	505
73	207
74	429
75	653
76	332
77	739
78	647
79	839
80	363
80	445
81	276
82	872
83	217
84	299
85	286
86	85
87	232
88	317
89	525
90	508
91	749
92	805
93	446
94	428
95	875
96	207
97	254
98	963
99	824
100	781
101	946
102	30
103	508
104	829
105	784
106	536
107	741
107	500
108	980
108	664
109	217
110	210
111	374
112	576
113	333
114	610
115	471
116	222
117	424
118	661
119	85
120	49
121	836
122	950
123	420
124	536
125	412
126	641
127	618
128	392
129	67
130	285
131	438
132	429
133	565
134	977
135	894
136	790
137	605
138	290
139	735
140	241
141	153
142	424
143	913
144	287
145	885
146	735
147	72
148	181
149	193
150	567
151	217
152	824
153	254
154	299
155	851
156	748
158	239
159	178
160	254
160	968
161	429
163	455
164	84
165	884
166	350
167	421
167	312
168	317
169	622
169	81
169	468
170	290
171	193
172	652
172	967
173	25
174	829
175	429
176	610
177	845
178	99
179	536
180	471
181	311
182	869
183	96
184	667
185	724
186	626
187	63
188	778
189	328
190	534
191	894
192	244
193	153
194	169
195	868
196	352
197	927
198	222
199	153
200	18
201	360
202	626
203	250
204	694
205	797
206	153
207	798
208	231
209	644
210	720
211	311
212	307
213	319
213	276
214	910
215	740
216	767
217	95
218	577
219	920
220	700
221	338
222	959
223	673
225	308
226	750
227	289
228	42
229	763
230	290
231	469
232	706
233	157
234	31
235	222
236	747
237	357
238	95
239	48
240	590
241	667
242	479
243	383
244	84
245	667
246	254
247	143
247	548
248	118
249	578
250	450
251	35
252	230
253	727
254	748
255	382
256	722
257	764
258	967
259	719
260	193
261	578
262	882
263	895
264	720
265	977
266	862
267	209
268	667
269	48
270	84
271	392
272	810
273	719
274	306
275	619
276	608
277	949
278	932
279	861
280	916
281	971
282	135
283	667
284	469
285	5
286	259
286	411
286	528
287	420
288	173
289	429
290	8
291	887
292	834
293	53
294	872
295	850
296	731
297	911
299	747
300	182
301	606
302	317
303	782
304	80
305	823
306	57
307	2
308	388
309	611
310	424
311	62
312	933
