id	szemely	hely	avatas	rogzites
1	Bessenyei György	Tiszabercel	1972	2015.11.03
2	Vasvári Pál	Székesfehérvár	2004	2012.05.11
3	Bessenyei György	Sárospatak	1988	2009.05.21
4	Eugenio Espejo	Budapest	2001	2009.08.14
5	Eötvös Károly	Balatonfüred	1916	2009.08.26
6	Fischer Mór	Herend	2008	2010.06.04
7	Zsille Péter	Kaposvár	2012	2012.11.20
8	Chernel István	Gárdony-Agárd	2015	2015.05.31
9	Kerpely Kálmán	Debrecen	2008	2009.02.24
10	Váci Mihály	Sarkad	1973	2013.06.24
11	Pataky István	Budapest	1964	2010.04.06
12	Wass Albert	Kalocsa	2012	2014.07.01
13	Petőfi Sándor	Öcsöd	1998	2011.02.01
14	Kőrösi Csoma Sándor	Budapest	1984	2012.10.15
15	Schafarzik Ferenc	Budapest	1981	2009.01.02
16	Bessenyei György	Budapest	1929	2017.05.22
17	Jókai Mór	Komárom	1954	2017.10.05
18	Tímár Máté	Gyomaendrőd	2001	2011.12.16
19	Róth Flóris	Salgótarján	2000	2010.11.30
20	Kálvin János	Csurgó	2003	2010.07.19
21	Dudás Miklós	Máriapócs	1998	2012.04.10
22	Zrínyi Miklós	Patapoklosi	2001	2017.07.26
23	Kodály Zoltán	Nagykanizsa	2007	2015.06.04
24	Dósa József	Kunszentmárton	1913	2016.07.03
25	Klebelsberg Kuno	Budapest	2005	2010.04.05
26	Kálvin János	Hajdúnánás	2014	2016.03.24
27	Dózsa György	Harta	1979	2009.10.08
28	Feketeházy János	Szeged	2008	2008.09.25
29	Csokonai Vitéz Mihály	Hajdúböszörmény	1984	2009.06.26
30	Ho-Si-Minh	Budapest	1970	2008.12.31
31	Keleti Gusztáv	Budapest		2016.11.05
32	Deák Ferenc	Kehidakustány	1928	2009.09.08
33	Steindl Imre	Budapest	1909	2014.07.08
34	Mező Ferenc	Pölöskefő	2015	2018.04.09
35	Csilla von Boeselager	Miskolc	2011	2011.08.10
36	Jankó Sándor	Sopron	2003	2010.08.20
37	Dózsa György	Karcsa	1968	2016.06.16
38	Szántó Kovács János	Kétegyháza	1983	2018.11.27
39	Zrínyi Miklós	Balatonakarattya	2008	2010.04.14
40	Dózsa György	Apátfalva	1979	2010.09.14
41	Petőfi Sándor	Ostffyasszonyfa	1969	2013.07.27
42	Noszlopy Gáspár	Marcali	2003	2009.04.02
43	Somlyó Zoltán	Budapest	1982	2009.03.30
44	Petőfi Sándor	Komló	1985	2014.09.21
45	Iványi-Grünwald Béla	Gyöngyös	1984	2014.05.02
46	Bozsik József	Felcsút	2014	2014.09.18
47	Vargha Károly	Szentlászló	2014	2016.06.28
48	Petőfi Sándor	Rimóc	1998	2015.04.13
49	Winston Churchill	Budapest	2003	2008.06.25
50	Csokonai Vitéz Mihály	Onga	2013	2014.08.08
51	Petőfi Sándor	Bogyiszló	1952	2008.05.03
52	Egressy Gábor	Sajólászlófalva	2018	2018.10.14
53	Dózsa György	Balassagyarmat	1972	2013.03.28
54	Wekerle Sándor	Budapest	2008	2010.11.20
55	Szent István	Váncsod	2001	2012.12.27
56	Rózsa Ferenc	Békéscsaba	1977	2013.12.29
57	Gaál István	Pásztó	2016	2017.10.10
58	Kozma Sándor	Kőröshegy		2009.08.25
59	Bugát Pál	Székesfehérvár	2005	2012.02.24
60	Széchenyi István gróf	Szolnok	1991	2011.10.20
61	Széchenyi István gróf	Szeged	1930	2008.02.12
62	Walter Mihály	Sopron	2004	2017.03.15
63	Szent István	Mende	2012	2014.07.22
64	Bláthy Ottó Titusz	Budapest	1960	2015.03.24
65	Petrovics Elek	Budapest		2016.04.24
66	Csorba Győző	Pécs	2004	2008.03.08
67	Kovrig Béla	Budapest	2012	2015.09.22
68	Ságvári Endre	Miskolc	1967	2016.04.30
69	Szalay László	Szeged	1930	2010.06.04
70	Mathiász János	Budapest	2017	2017.06.12
71	Ante Miroljub Evetović	Bácsalmás	1936	2010.12.03
